MusterCallsDate,MobilizatonSymbol,Countycode,RegistrationAddress,RecallUnit 
2021-03-09,仁愛甲字932005,65000,新北市淡水區崁頂92號,神鷹營區,
2021-03-15,精誠甲字933041,68000,桃園市大溪區仁和路一段12號,埔頂營區,
2021-03-16,精誠甲字953018,66000,臺中市神岡區圳堵里神清路163號,圳堵營區,
2021-03-16,忠貞甲字932004,68000,桃園市龜山區公西里文31街501號,慧敏營區,
2021-03-17,忠貞甲字932006,68000,桃園市龜山區公西里文31街501號,慧敏營區,
2021-03-17,精誠甲字953019,66000,臺中市神岡區圳堵里神清路163號,圳堵營區,
2021-03-17,精誠甲字943031,64000,高雄市橋頭區甲昌路287號,新莊營區,
2021-03-18,精誠甲字952013,66000,臺中市神岡區圳堵里神清路163號,圳堵營區,
2021-03-18,忠貞甲字932008,68000,桃園市龜山區公西里文31街501號,慧敏營區,
2021-03-19,精誠甲字952009,66000,臺中市烏日區中山路三段502號,成功嶺營區,
2021-03-19,精誠甲字952010,66000,臺中市烏日區中山路三段502號,成功嶺營區,
2021-03-19,精誠甲字943021,64000,高雄市鳳山區鳳頂路1000號,金湯營區,
2021-03-20,大業甲字240103,64000,高雄市左營區世運大道3號,南勝利營區,
2021-03-20,大業甲字240104,64000,高雄市左營區世運大道3號,南勝利營區,
2021-03-20,精誠甲字250404,66000,臺中市烏日區中山路三段502號,成功嶺營區,
2021-03-20,精誠甲字250405,66000,臺中市烏日區中山路三段502號,成功嶺營區,
2021-03-20,精誠甲字240103,67000,臺南市永康區中山南路363號,湯山營區,
2021-03-20,精誠甲字241001,64000,高雄市鳳山區鳳頂路1000號,金湯營區,
2021-03-20,精誠甲字241003,64000,高雄市鳳山區鳳頂路1000號,金湯營區,
2021-03-20,忠貞甲字230400,68000,桃園市龜山區公西里文31街501號,慧敏營區,
2021-03-22,精誠甲字932030,68000,桃園市中壢市龍東路750號,建國營區,
2021-03-22,精誠甲字942004,64000,高雄市鳳山區維武路1號,黃埔營區,
2021-03-23,精誠甲字942008,64000,高雄市鳳山區維武路1號,黃埔營區,
2021-03-23,仁愛甲字933010,68000,桃園市楊梅區楊梅路一段367巷51號,慧星營區,
2021-03-23,仁愛甲字933012,68000,桃園市楊梅區楊梅路一段367巷51號,慧星營區,
2021-03-23,精誠甲字932031,68000,桃園市中壢區龍東路750號,建國營區,
2021-03-24,精誠甲字932032,68000,桃園市中壢市龍東路750號,建國營區,
2021-03-24,精誠甲字933023,68000,桃園市龍潭區中興路100號,武漢營區,
2021-03-24,精誠甲字942009,64000,高雄市鳳山區維武路1號,黃埔營區,
2021-03-25,精誠甲字943003,64000,高雄市鳳山區維武路1號,黃埔營區,
2021-03-25,精誠甲字932033,68000,桃園市中壢市龍東路750號,建國營區,
2021-03-26,精誠甲字933020,68000,桃園市中壢區龍東路750號,建國營區,
2021-03-26,精誠甲字943004,64000,高雄市鳳山區維武路1號,黃埔營區,
2021-03-30,精誠甲字933010,68000,桃園市龍潭區聖亭路325號,凌雲崗營區,
2021-03-31,精誠甲字933014,68000,桃園市龍潭區聖亭路325號,凌雲崗營區,
2021-03-31,精誠甲字953042,10009,雲林縣斗南鎮中山路2號,斗南火車站,
2021-04-07,精誠甲字941001,64000,高雄市鳳山區鳳頂路1000號,金湯營區,
2021-04-09,精誠甲字942014,64000,高雄市鳳山區鳳頂路1000號,金湯營區,
2021-04-09,精誠甲字942007,67000,臺南市永康區中山南路363號,湯山營區,
2021-04-09,忠貞甲字932012,68000,桃園市龜山區公西里文三一街501號,慧敏營區,
2021-04-10,忠貞甲字230201,68000,桃園市龜山區公西里文三一街501號,慧敏營區,
2021-04-10,忠貞甲字230202,68000,桃園市龜山區公西里文三一街501號,慧敏營區,
2021-04-10,博愛甲字241201,10013,屏東縣枋寮鄉新開村忠誠路1號,新開營區,
2021-04-10,博愛甲字241202,10013,屏東縣枋寮鄉新開村忠誠路1號,新開營區,
2021-04-10,博愛甲字241208,10013,屏東縣枋寮鄉新開村忠誠路1號,新開營區,
2021-04-10,博愛甲字241209,10013,屏東縣枋寮鄉新開村忠誠路1號,新開營區,
2021-04-10,博愛甲字251304,66000,臺中市烏日區中山路三段502號,成功嶺營區,
2021-04-10,博愛甲字251803,10005,苗栗縣頭份市斗煥里1991號,斗煥坪營區,
