MusterCallsDate,MobilizatonSymbol,Countycode,RegistrationAddress,RecallUnit
20210309,仁愛甲字922006,10014,臺東縣臺東市志航路3段3號,建安營區
20210309,仁愛甲字932005,65000,新北市淡水區崁頂92號,神鷹營區
20210315,精誠甲字933041,68000,桃園市大溪區仁和路一段12號,埔頂營區
20210316,精誠甲字953018,66000,臺中市神岡區圳堵里神清路163號,圳堵營區
20210316,忠貞甲字932004,68000,桃園市龜山區公西里文31街501號,慧敏營區
20210317,忠貞甲字932006,68000,桃園市龜山區公西里文31街501號,慧敏營區
20210317,精誠甲字953019,66000,臺中市神岡區圳堵里神清路163號,圳堵營區
20210317,精誠甲字943031,64000,高雄市橋頭區甲昌路287號,新莊營區
20210318,精誠甲字952013,66000,臺中市神岡區圳堵里神清路163號,圳堵營區
20210318,忠貞甲字932008,68000,桃園市龜山區公西里文31街501號,慧敏營區
20210319,精誠甲字952009,66000,臺中市烏日區中山路三段502號,成功嶺營區
20210319,精誠甲字952010,66000,臺中市烏日區中山路三段502號,成功嶺營區
20210319,精誠甲字943021,64000,高雄市鳳山區鳳頂路1000號,金湯營區
20210320,大業甲字240103,64000,高雄市左營區世運大道3號,南勝利營區
20210320,大業甲字240104,64000,高雄市左營區世運大道3號,南勝利營區
20210320,精誠甲字250404,66000,臺中市烏日區中山路三段502號,成功嶺營區
20210320,精誠甲字250405,66000,臺中市烏日區中山路三段502號,成功嶺營區
20210320,精誠甲字240103,67000,臺南市永康區中山南路363號,湯山營區
20210320,精誠甲字241001,64000,高雄市鳳山區鳳頂路1000號,金湯營區
20210320,精誠甲字241003,64000,高雄市鳳山區鳳頂路1000號,金湯營區
20210320,忠貞甲字230400,68000,桃園市龜山區公西里文31街501號,慧敏營區
20210322,精誠甲字932030,68000,桃園市中壢市龍東路750號,建國營區
20210322,精誠甲字942004,64000,高雄市鳳山區維武路1號,黃埔營區
20210323,精誠甲字942008,64000,高雄市鳳山區維武路1號,黃埔營區
20210323,仁愛甲字933010,68000,桃園市楊梅區楊梅路一段367巷51號,慧星營區
20210323,仁愛甲字933012,68000,桃園市楊梅區楊梅路一段367巷51號,慧星營區
20210323,精誠甲字932031,68000,桃園市中壢區龍東路750號,建國營區
20210324,精誠甲字932032,68000,桃園市中壢市龍東路750號,建國營區
20210324,精誠甲字933023,68000,桃園市龍潭區中興路100號,武漢營區
20210324,精誠甲字942009,64000,高雄市鳳山區維武路1號,黃埔營區
20210325,精誠甲字943003,64000,高雄市鳳山區維武路1號,黃埔營區
20210325,精誠甲字932033,68000,桃園市中壢市龍東路750號,建國營區
20210326,精誠甲字933020,68000,桃園市中壢區龍東路750號,建國營區
20210326,精誠甲字943004,64000,高雄市鳳山區維武路1號,黃埔營區
20210330,精誠甲字933010,68000,桃園市龍潭區聖亭路325號,凌雲崗營區
20210331,精誠甲字933014,68000,桃園市龍潭區聖亭路325號,凌雲崗營區
20210331,精誠甲字953042,10009,雲林縣斗南鎮中山路2號,斗南火車站
20210407,精誠甲字941001,64000,高雄市鳳山區鳳頂路1000號,金湯營區
20210409,精誠甲字942014,64000,高雄市鳳山區鳳頂路1000號,金湯營區
20210409,精誠甲字942007,67000,臺南市永康區中山南路363號,湯山營區
20210409,忠貞甲字932012,68000,桃園市龜山區公西里文三一街501號,慧敏營區
20210410,忠貞甲字230201,68000,桃園市龜山區公西里文三一街501號,慧敏營區
20210410,忠貞甲字230202,68000,桃園市龜山區公西里文三一街501號,慧敏營區
20210410,博愛甲字241201,10013,屏東縣枋寮鄉新開村忠誠路1號,新開營區
20210410,博愛甲字241202,10013,屏東縣枋寮鄉新開村忠誠路1號,新開營區
20210410,博愛甲字241208,10013,屏東縣枋寮鄉新開村忠誠路1號,新開營區
20210410,博愛甲字241209,10013,屏東縣枋寮鄉新開村忠誠路1號,新開營區
20210410,博愛甲字251304,66000,臺中市烏日區中山路三段502號,成功嶺營區
20210410,博愛甲字251803,10005,苗栗縣頭份市斗煥里1991號,斗煥坪營區
20210410,大業甲字240105,64000,高雄市左營區世運大道3號,南勝利營區
20210410,大業甲字240101,64000,高雄市左營區世運大道3號,南勝利營區
20210410,精誠甲字240904,64000,高雄市鳳山區鳳頂路1000號,金湯營區
20210410,精誠甲字240104,67000,臺南市永康區中山南路363號,湯山營區
20210413,精誠甲字953023,66000,臺中市大雅區忠義里信義路97號,清泉崗營區
20210413,精誠甲字953035,10020,嘉義市東區鹿寮里紅毛埤42號,蘭潭營區
20210413,仁愛甲字942011,10013,屏東縣屏東市勝利路330號,屏東基地
